dialect_phrase,region,literal_english,medical_english
पोटात गोळा येऊन राह्यला,Vidarbha,Ball is coming in stomach,Abdominal cramping
डोकं भचकून राह्यलं,Vidarbha,Head is pulsating,Severe throbbing headache
अंगाची लाही-लाही होऊन राह्यली,Vidarbha,Body is becoming parched,High fever
उरात धाप लागून राह्यली,Vidarbha,Panting is attached in chest,Dyspnea
अंगात हुशारीच न्हाई,Vidarbha,No smartness in body,Severe asthenia
पोटाची नुसती काहिली व्हतीया,Kolhapur,Stomach is just boiling,Gastritis
टाळू भणभणतीया बघ,Kolhapur,Crown of head is buzzing look,Vertex headache
काळजात धस्स व्हतंय,Kolhapur,Sinking feeling in liver,Sudden chest pain
डोळ्यांपुढं नुसती आंधारी येतीया,Kolhapur,Only darkness coming before eyes,Syncope/Vertigo
आंगात रगच ऱ्हायली न्हाय,Kolhapur,No strength left in body,Severe weakness
पोटांत ढवळून येताहा,Konkan,It is sloshing in stomach,Nausea
तकल्याक भयंकर ठणका लागलोय,Konkan,Terrible pounding attached to head,Severe headache
आंगात हिव भरान इलोय,Konkan,Cold has filled in body and come,Fever with chills
सांध्यांका कळा मारतात,Konkan,Needles striking to the joints,Arthralgia
श्वास घेवंक त्रास होताहा,Konkan,Trouble happening to take breath,Shortness of breath
पोटात वात धरल्यागत वाटतंय,Marathwada,Feels like wind caught in stomach,Colic/Bloating
डोकं ठणकून मोकळं व्हईना,Marathwada,Head is not getting free from throbbing,Persistent headache
डोळे पार लालबुंद झालेत,Marathwada,Eyes have become completely red-hot,Conjunctivitis
अंगात काही त्राणच राहिला न्हाई,Marathwada,No life left in body,Severe fatigue
खोकल्याची लई उबळ येतीया,Marathwada,Heavy spasm of cough is coming,Paroxysmal cough
पोटात चुणचुण करी ऱ्हायलं,Nashik,It is doing stinging in stomach,Mild abdominal pain
तापानं अंग खदखदी ऱ्हायलं,Nashik,Body is boiling with fever,High grade fever
छातीत धडधड हुई ऱ्हायली,Nashik,Thumping is happening in chest,Palpitations
पायात काई बळ ऱ्हायलं न्हाई,Nashik,No force left in legs,Lower limb weakness
हाडकं ठणकी ऱ्हायलेत,Nashik,Bones are throbbing,Bone pain
पोटात नुसता कल्ला चालूय,Pune,Only noise is going on in stomach,Borborygmi
तापाची नुसती कडक भरलीय,Pune,Only severe strictness of fever has filled,High fever
छातीवर कोणीतरी बसल्यागत वाटतयं,Pune,Feels like someone is sitting on chest,Angina pectoris
कंबर पार आखडून गेलीय,Pune,Waist has completely stiffened,Lumbago
डोळ्यांसमोर जाळं आल्यागत होतयं,Pune,Feels like web came before eyes,Blurred vision
पोटात कळा मारत्यात,Kolhapur,Needles stabbing in stomach,Severe abdominal pain
पोटात नुसतं डचमळतंय,Kolhapur,Stomach is just sloshing,Nausea
डोकं भणभणतंय बघा,Kolhapur,Head is buzzing look,Throbbing headache
टाळूची आग व्हतीया,Kolhapur,Fire of the crown is happening,Vertex headache
आंगात हिव भरुन आलंय,Kolhapur,Cold has filled in body,Fever with chills
तापाची लई कडक भरल्या,Kolhapur,Great strictness of fever has filled,High-grade fever
उरात धाप लागतीया,Kolhapur,Panting attached in chest,Dyspnea
गुडघ्यांची पार वाटी झालीया,Kolhapur,Knees have become completely cups,Severe osteoarthritis
छातीत कफ गच्च दाटलाय,Kolhapur,Phlegm has thickened tightly in chest,Chest congestion
कंबर पार मोडून पडल्या,Kolhapur,Waist is completely broken and fallen,Severe lumbago
आंगात हुशारीच वाटत न्हाय,Kolhapur,Not feeling smartness in body,Malaise
दाढेला ठणका लागलाय,Kolhapur,Pounding attached to molar,Severe toothache
चक्कर येऊन यडं-यडं झाल्यागत व्हतंय,Kolhapur,Spinning and feeling like gone mad,Severe dizziness
पायाच्या गोळ्या ताणल्यात,Kolhapur,Calves of legs are stretched,Calf muscle cramps
घसा पार बसलाय,Kolhapur,Throat has completely sat down,Laryngitis
अंगात हिव भरून राह्यलं,Vidarbha,Cold is filling in the body,Fever with chills
गुडघे जाम होऊन राह्यले,Vidarbha,Knees have become jammed,Joint stiffness
अंग मोडून राह्यलं,Vidarbha,Body is breaking,Myalgia
कंबर धरून बसली,Vidarbha,Waist has held and sat,Lumbago
खोकल्याची उबळ येऊन राह्यली,Vidarbha,Spasm of cough is coming,Paroxysmal cough
डोळ्यांपुढं अंधारी येऊन राह्यली,Vidarbha,Darkness coming before eyes,Vertigo/Syncope
छातीत गच्च धरून राह्यलं,Vidarbha,Chest is holding tight,Chest congestion/Angina
दाढेला ठणका लागून राह्यला,Vidarbha,Throbbing attached to molar,Severe toothache
पोटात डचमळून राह्यलं,Vidarbha,Stomach is sloshing,Nausea
पायात गोळे येऊन राह्यले,Vidarbha,Balls are coming in legs,Calf muscle cramps
मान आखडून राह्यली,Vidarbha,Neck has stiffened,Cervical stiffness
जिवावर आल्यासारखं वाटून राह्यलं,Vidarbha,Feeling like it came on life,Severe malaise
घसा खवखवून राह्यला,Vidarbha,Throat is scraping,Pharyngitis
पोटात जाळ पडून राह्यला,Vidarbha,Fire is falling in stomach,Gastritis
पोटात नुसतं डचमळतय,Marathwada,Stomach is just sloshing,Nausea
अंग पार मोडून आलंय,Marathwada,Body has come completely broken,Myalgia
दाढेला लई ठणका लागलाय,Marathwada,Heavy throbbing attached to molar,Severe toothache
श्वास कोंडल्यागत व्हतंय,Marathwada,Feels like breath is trapped,Dyspnea
गुडघे पार घासून गेलेत,Marathwada,Knees are completely rubbed away,Osteoarthritis
तोंडाची पार चवच गेलीया,Marathwada,Taste of mouth has completely gone,Anorexia
कंबर पार धरून बसली,Marathwada,Waist has completely held and sat,Lumbago
छातीत नुसती जळजळ व्हतीया,Marathwada,Only burning happening in chest,Heartburn/GERD
तापानं अंग नुसतं फणफणतंय,Marathwada,Body is just radiating with fever,High-grade fever
कानात कळा मारत्यात,Marathwada,Needles stabbing in ear,Otalgia
जिवावर आल्यागत वाटतंय,Marathwada,Feels like it came on life,Severe malaise
पोटाचा नुसता कोठा बिघडलाय,Marathwada,Stomach's room has just spoiled,Diarrhea
पोटात पिळा मारताहा,Konkan,Twisting is hitting in the stomach,Abdominal cramps
काळजात धस्स जाताहा,Konkan,Sinking happening in liver,Palpitations/Chest pain
आंगात काय त्राण रवलो नाय,Konkan,No life remained in body,Severe fatigue
कंबर मोडून गेल्या,Konkan,Waist has broken and gone,Lumbago
डोळ्यांपुढ्यान आंधारी येता,Konkan,Darkness comes from before the eyes,Vertigo/Syncope
पोटांत आग पडल्या,Konkan,Fire has fallen in stomach,Gastritis/Acidity
खोकल्याची उबळ येताहा,Konkan,Spasm of cough is coming,Paroxysmal cough
डोळे इलेत,Konkan,Eyes have come,Conjunctivitis
आंग मोडून येताहा,Konkan,Body is breaking and coming,Myalgia
आंग तापान फणफणताहा,Konkan,Body is radiating with fever,High-grade fever
घसो खवखवताहा,Konkan,Throat is scraping,Pharyngitis
पोटाचो कोठो बिघडलोय,Konkan,Stomach's room has spoiled,Diarrhea/Dysentery
दाढेला ठणका लागलोय,Konkan,Pounding attached to molar,Severe toothache
पायात गोळो इलोय,Konkan,Ball came in leg,Calf muscle cramps
आंगाक सूज इल्या,Konkan,Swelling has come to body,Edema
डोकं फुटून ऱ्हायलं,Nashik,Head is splitting open,Severe headache
डोळ्यांपुढं आंधारी येई ऱ्हायली,Nashik,Darkness is coming before eyes,Vertigo/Syncope
धाप लागी ऱ्हायली,Nashik,Panting is attached,Dyspnea/Shortness of breath
डोये लालबुंद हुई गेलेत,Nashik,Eyes have become red-hot,Conjunctivitis
अंगात हिव भरी ऱ्हायलं,Nashik,Cold is filling in body,Fever with chills
खोकल्याची ढास लागी ऱ्हायली,Nashik,Bout of cough is attached,Paroxysmal cough
अंग मोडून ऱ्हायलं,Nashik,Body is breaking,Myalgia
घसा खवखवी ऱ्हायल्या,Nashik,Throat is scraping,Pharyngitis/Sore throat
सांधे जाम हुई गेलेत,Nashik,Joints have become jammed,Joint stiffness/Arthritis
पोटात ढवळी ऱ्हायलं,Nashik,It is sloshing in stomach,Nausea
दाढेला ठणका लागी ऱ्हायल्या,Nashik,Throbbing is attached to molar,Severe toothache
कंबर आखडून गेली,Nashik,Waist has completely stiffened,Lumbago
छातीत जळजळ हुई ऱ्हायली,Nashik,Burning is happening in chest,Heartburn/Dyspepsia
जिवावर आल्यागत हुई ऱ्हायलं,Nashik,Feeling like it came on life,Severe malaise
आंगावर सूज येई ऱ्हायली,Nashik,Swelling is coming on body,Edema
पोटाचा कोठा बिघडलाय,Marathwada,Stomach's room is ruined,Indigestion/Diarrhea
पोटात वात शिरलाय,Pune,Wind has entered the stomach,Bloating/Flatulence
पोटाचा नगारा झालाय,Vidarbha,Stomach has become a drum,Severe abdominal distension
आतड्याला पीळ पडलाय,Kolhapur,Intestines have a twist,Severe abdominal cramps
उरात धस्स व्हतंय,Kolhapur,Sinking feeling in chest,Palpitations/Panic
छातीवर धोंडा ठेवल्यागत वाटतंय,Marathwada,Feels like a boulder is placed on chest,Chest pressure/Angina
काळजात गोळा येऊन राह्यला,Vidarbha,Ball has come in the liver,Acute chest pain/Anxiety
श्वास कोंडताहा,Konkan,Breath is trapped,Dyspnea/Shortness of breath
उर फाटून ऱ्हायलंय,Nashik,Chest is tearing apart,Severe chest congestion/Tachypnea
हाडकं खिळखिळी झालीत,Marathwada,Bones have become loose,Osteoarthritis/Joint pain
पायातली रग पार गेलीया,Kolhapur,Strength in the legs is completely gone,Severe asthenia/Fatigue
कंबरेचा कणा मोडून पडलाय,Vidarbha,Spine of the waist is broken and fallen,Severe lumbago
पायाचे गोळे वळी ऱ्हायलेत,Nashik,Balls of the legs are turning,Calf muscle cramps
डोळ्यांवर झापड आलीय,Pune,Flap has come over the eyes,Drowsiness/Lethargy
डोळ्यांपुढं काजवे चमकत्यात,Kolhapur,Fireflies are flashing before the eyes,Vertigo/Visual aura
कानात भुंगे घुमून राहिले,Vidarbha,Beetles are humming in the ears,Tinnitus
घशात खसखस करी ऱ्हायली,Nashik,It is doing poppy seeds in the throat,Pharyngitis/Sore throat
अंगात उष्मा शिरलाय,Marathwada,Heat has entered the body,Heat stroke/Hyperthermia
कुणीतरी करणी केल्यागत वाटतंय,Kolhapur,Feels like someone has done black magic,Psychosomatic illness/Severe malaise
वाऱ्याची बाधा झालीया,Pune,Affliction of the wind has happened,Viral infection/Sudden illness
दृष्ट लागून अंग खंगलाय,Vidarbha,Body is wasted away due to evil eye,Severe cachexia/Malnutrition
पोटात गोळा फिरतोय,Nashik,A ball is roaming in the stomach,Severe flatulence/Bowel obstruction
हाडांची काडं झालीत,Konkan,Bones have become sticks,Severe emaciation
डोक्यावर भूत बसल्यागत जड झालंय,Marathwada,Head has become heavy as if a ghost is sitting on it,Severe tension headache/Migraine
अंगात गारवा भरून उरलाय,Kolhapur,Coldness has filled and remained in the body,Hypothermia/Severe chills
जिवाची नुसती घालमेल व्हतीया,Pune,Life is just getting scrambled,Anxiety/Restlessness
पापी ग्रह लागल्यागत हाडकं दुखतात,Vidarbha,Bones ache as if afflicted by a sinful planet,Chronic bone pain/Rheumatism
काळजात धडकी भरतीया,Nashik,Terror is filling in the liver,Palpitations/Panic attack
उरात कफ गोठून बसलाय,Konkan,Phlegm has frozen and sat in the chest,Severe chest congestion/Pneumonia
नाडी पार मंदावलीय,Marathwada,Pulse has completely slowed down,Bradycardia/Lethargy
डोळ्यातून नुसता जाळ निघतोय,Kolhapur,Only fire is coming out of the eyes,Conjunctivitis/High fever
अंगात पित्त उसळलंय,Pune,Bile has erupted in the body,Severe acidity/Biliousness
हाडात ताप मुरलाय,Vidarbha,Fever has fermented in the bone,Chronic fever/Typhoid
कंबरेची पार वाटी झालीया,Nashik,Waist has completely become a cup,Severe lumbago/Spondylosis
रक्तात पाणी झालंय,Konkan,Blood has become water,Anemia
मेंदूतून मुंग्या आल्यागत वाटतंय,Marathwada,Feels like ants are coming from the brain,Tingling sensation/Neuropathy
डोळ्यावर झापड पडतीया,Pune,A flap is falling over the eyes,Drowsiness/Lethargy
तोंड आलंय,Pune,Mouth has come,Mouth ulcers/Aphthous stomatitis
डोळे आलेत,Vidarbha,Eyes have come,Conjunctivitis
आतडी गळ्याशी आलीत,Kolhapur,Intestines have come to the throat,Severe nausea/Retching
कंबर मोडून हातात आलीय,Marathwada,Waist has broken and come into the hands,Severe lower back pain/Lumbago
अंगाला मुंग्या आल्यात,Nashik,Ants have come to the body,Tingling sensation/Paresthesia
हाडांचं पाणी झालंय,Konkan,Bones have turned into water,Extreme fatigue/Severe weakness
पोटात गोळा आलाय,Vidarbha,A ball has arrived in the stomach,Abdominal cramps/Spasm
काळजात धस्स होतंय,Kolhapur,Sinking feeling in the liver,Palpitations/Sudden anxiety
डोक्यात किडे वळवळतायत,Pune,Bugs are wriggling in the head,Severe confusion/Mental agitation
छातीचा भाता झालाय,Marathwada,Chest has become a blacksmith's bellows,Severe panting/Tachypnea
जिवाची तडफड चाललीय,Nashik,Life is fluttering,Severe restlessness/Malaise
अंगात वारं शिरलंय,Konkan,Wind has entered the body,Sudden acute joint pain/Viral body ache
पायातले प्राण गेलेत,Pune,Life has left the legs,Severe lower limb weakness
टाळू फाटून ऱ्हायली,Vidarbha,Crown of the head is tearing apart,Severe throbbing headache
घशात खसखस पिकलीय,Kolhapur,Poppy seeds have grown in the throat,Scratchy throat/Pharyngitis